0material_id,material_name,category,route,recycling_rate,energy_MJ_per_kg,carbon_kgCO2_per_kg,scrap_recovery_rate,mci,transport_km,renewable_share
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,180.79,9.35,0.78,0.11,715,0.53
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,206.11,10.53,0.72,0.03,561,0.2
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,188.05,10.97,0.79,0.09,534,0.46
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,210.02,12.45,0.71,0.1,978,0.44
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,194.43,10.98,0.74,0.11,316,0.23
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,213.49,12.07,0.73,0.03,490,0.24
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,192.98,10.35,0.75,0.03,754,0.34
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,203.83,11.15,0.71,0.05,753,0.34
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,198.75,10.19,0.76,0.07,961,0.56
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,181.37,9.66,0.75,0.03,293,0.16
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,194.82,10.92,0.78,0.05,252,0.56
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,211.01,12.55,0.72,0.04,730,0.56
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,209.69,12.57,0.74,0.09,329,0.45
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,201.58,10.79,0.77,0.03,662,0.41
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,186.42,10.97,0.79,0.1,222,0.38
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,216.35,11.72,0.77,0.04,745,0.58
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,211.01,11.4,0.74,0.06,860,0.3
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,198.03,10.19,0.77,0.11,568,0.6
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,206.26,11.98,0.75,0.11,603,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,203.62,10.31,0.79,0.1,256,0.37
al_6061_primary,Aluminium 6061,Aluminium,primary,0.02,187.35,10.66,0.76,0.02,399,0.41
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,189.35,10.81,0.74,0.11,289,0.49
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,209.41,10.56,0.71,0.1,787,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.02,191.53,9.7,0.76,0.02,861,0.18
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,212.48,12.15,0.8,0.02,937,0.22
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,191.89,9.76,0.77,0.05,551,0.25
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,199.27,11.44,0.7,0.02,991,0.42
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,217.17,12.29,0.74,0.09,640,0.52
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,219.9,11.34,0.77,0.06,920,0.3
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,213.92,11.15,0.76,0.1,464,0.44
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,182.75,10.21,0.71,0.11,405,0.47
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,180.79,9.66,0.79,0.03,656,0.45
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,200.39,10.74,0.75,0.03,730,0.25
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,209.26,11.81,0.72,0.08,589,0.2
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,212.47,11.73,0.74,0.11,688,0.27
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,209.89,11.5,0.73,0.04,479,0.4
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,212.81,11.41,0.79,0.05,789,0.44
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,218.36,11.67,0.72,0.03,939,0.53
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,189.94,11.09,0.79,0.07,670,0.45
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,201.76,10.91,0.73,0.06,710,0.28
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,205.64,11.58,0.76,0.04,400,0.59
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,181.98,10.26,0.74,0.08,402,0.32
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,194.18,9.96,0.79,0.02,725,0.33
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,215.23,12.06,0.7,0.02,959,0.32
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,197.64,11.49,0.76,0.08,927,0.48
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,218.56,11.87,0.78,0.03,566,0.26
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,200.05,10.44,0.74,0.02,523,0.31
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,191.11,9.91,0.79,0.03,746,0.45
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,201.91,10.6,0.74,0.02,855,0.43
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,180.6,10.06,0.76,0.09,623,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,210.09,11.92,0.78,0.03,834,0.3
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,209.0,12.25,0.72,0.08,498,0.37
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,195.84,11.65,0.8,0.12,864,0.51
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,184.25,10.31,0.79,0.03,958,0.29
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,194.67,11.03,0.74,0.03,651,0.36
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,192.81,10.17,0.71,0.08,722,0.5
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,182.6,9.81,0.78,0.07,959,0.36
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,196.49,10.32,0.72,0.06,935,0.44
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,188.22,10.6,0.74,0.08,888,0.16
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,182.66,10.23,0.73,0.1,525,0.33
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,201.32,11.87,0.8,0.02,585,0.42
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,216.83,12.41,0.78,0.04,515,0.41
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,206.07,11.53,0.75,0.04,231,0.33
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,190.12,9.8,0.7,0.1,209,0.23
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,180.25,10.14,0.76,0.11,950,0.33
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,184.05,10.97,0.79,0.06,231,0.16
al_6061_primary,Aluminium 6061,Aluminium,primary,0.02,195.52,9.84,0.73,0.01,294,0.37
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,200.53,10.38,0.75,0.1,439,0.15
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,203.23,10.32,0.78,0.09,966,0.17
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,202.95,11.84,0.8,0.1,908,0.47
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,198.18,11.57,0.75,0.03,423,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,191.21,11.06,0.74,0.05,414,0.28
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,182.18,9.95,0.76,0.09,602,0.17
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,217.4,11.77,0.78,0.07,227,0.49
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,197.16,10.71,0.73,0.09,601,0.31
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,205.37,11.53,0.72,0.1,794,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,209.89,11.54,0.73,0.06,845,0.27
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,204.21,10.66,0.74,0.04,455,0.35
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,188.4,10.09,0.77,0.09,424,0.35
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,215.04,12.62,0.78,0.1,996,0.55
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,207.4,11.01,0.79,0.07,985,0.34
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,196.09,11.76,0.77,0.05,776,0.48
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,193.31,10.79,0.75,0.05,573,0.51
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,219.61,12.79,0.75,0.06,722,0.24
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,208.67,10.46,0.71,0.02,748,0.3
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,194.65,11.67,0.7,0.09,316,0.42
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,185.14,10.4,0.72,0.09,253,0.52
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,184.59,10.12,0.75,0.03,983,0.48
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,205.69,12.23,0.71,0.04,928,0.2
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,204.07,10.94,0.76,0.08,680,0.24
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,191.33,9.6,0.71,0.05,562,0.55
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,197.72,10.41,0.8,0.08,268,0.44
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,219.8,11.05,0.76,0.07,828,0.52
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,210.51,11.43,0.78,0.06,242,0.22
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,207.87,11.83,0.7,0.09,847,0.21
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,212.35,12.59,0.76,0.11,404,0.38
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,208.41,12.0,0.76,0.09,437,0.17
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,198.57,11.53,0.74,0.09,422,0.56
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,181.87,10.66,0.76,0.09,432,0.4
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,211.19,11.37,0.74,0.1,808,0.36
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,203.72,11.5,0.8,0.09,708,0.55
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,196.01,10.57,0.7,0.04,544,0.39
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,210.49,12.15,0.72,0.11,344,0.19
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,181.0,10.42,0.76,0.03,855,0.29
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,184.31,9.28,0.73,0.07,841,0.31
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,187.9,10.65,0.74,0.04,787,0.4
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,183.22,9.44,0.77,0.09,891,0.24
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,205.31,10.77,0.77,0.07,609,0.23
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,187.68,10.98,0.75,0.02,683,0.45
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,184.32,11.04,0.79,0.07,226,0.25
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,187.27,9.86,0.8,0.04,764,0.17
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,212.02,11.69,0.7,0.02,376,0.5
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,214.39,11.2,0.72,0.06,366,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,213.75,11.29,0.71,0.09,953,0.2
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,217.12,11.1,0.71,0.07,892,0.16
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,203.45,11.6,0.78,0.07,984,0.58
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,184.64,10.47,0.78,0.07,769,0.59
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,192.97,10.86,0.79,0.11,564,0.19
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,206.82,10.35,0.79,0.03,203,0.47
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,184.67,11.02,0.77,0.03,723,0.5
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,215.42,12.77,0.75,0.06,764,0.16
al_6061_primary,Aluminium 6061,Aluminium,primary,0.02,204.6,11.42,0.73,0.01,463,0.42
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,213.3,11.26,0.76,0.08,577,0.21
al_6061_primary,Aluminium 6061,Aluminium,primary,0.02,206.06,12.13,0.75,0.02,401,0.58
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,201.11,10.65,0.76,0.08,295,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,185.14,9.84,0.71,0.04,783,0.41
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,213.81,10.8,0.76,0.11,908,0.32
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,201.54,11.38,0.75,0.06,709,0.26
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,182.8,9.32,0.71,0.09,719,0.19
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,184.35,9.6,0.73,0.02,537,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,202.9,11.57,0.79,0.09,953,0.18
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,188.55,9.61,0.75,0.06,307,0.49
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,184.42,10.63,0.73,0.02,715,0.37
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,190.81,10.07,0.71,0.07,729,0.18
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,211.61,11.76,0.78,0.07,438,0.43
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,203.48,11.92,0.79,0.05,509,0.31
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,207.99,10.61,0.71,0.09,422,0.41
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,190.1,10.43,0.76,0.03,389,0.53
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,188.03,9.79,0.74,0.08,900,0.21
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,216.18,11.46,0.76,0.05,596,0.25
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,196.01,11.29,0.72,0.06,356,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,216.96,12.62,0.78,0.04,541,0.55
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,209.43,12.55,0.8,0.11,583,0.41
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,186.28,10.4,0.79,0.06,510,0.55
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,200.46,10.77,0.71,0.05,674,0.59
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,204.93,11.5,0.73,0.05,407,0.46
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,207.24,12.34,0.77,0.05,978,0.23
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,188.78,10.17,0.72,0.1,890,0.59
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,189.62,9.96,0.72,0.1,662,0.21
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,216.44,12.89,0.7,0.05,746,0.39
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,210.03,12.08,0.78,0.02,201,0.55
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,191.23,10.15,0.79,0.1,562,0.3
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,186.46,10.32,0.71,0.07,708,0.35
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,187.77,10.88,0.71,0.11,558,0.32
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,200.95,10.11,0.73,0.08,368,0.27
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,190.07,10.96,0.78,0.08,686,0.59
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,218.28,12.39,0.75,0.09,928,0.26
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,211.81,11.21,0.71,0.08,640,0.45
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,219.75,12.98,0.77,0.04,862,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,194.52,9.84,0.78,0.11,884,0.49
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,196.76,10.35,0.78,0.11,377,0.2
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,196.27,11.28,0.76,0.08,619,0.56
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,205.87,11.09,0.76,0.06,490,0.29
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,181.95,9.14,0.79,0.06,826,0.25
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,218.02,11.42,0.77,0.09,878,0.4
al_6061_primary,Aluminium 6061,Aluminium,primary,0.02,204.0,11.97,0.71,0.01,872,0.2
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,188.53,10.19,0.79,0.1,807,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,199.15,11.93,0.77,0.04,685,0.16
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,218.47,11.42,0.77,0.02,707,0.26
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,212.34,11.76,0.78,0.04,577,0.21
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,196.1,9.94,0.78,0.06,710,0.38
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,191.51,9.58,0.78,0.06,339,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,196.52,10.28,0.72,0.08,658,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,185.95,9.4,0.72,0.07,715,0.57
al_6061_primary,Aluminium 6061,Aluminium,primary,0.02,181.35,9.55,0.79,0.02,221,0.21
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,209.17,10.67,0.73,0.05,234,0.35
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,215.84,12.38,0.78,0.06,205,0.32
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,181.17,10.43,0.76,0.09,687,0.26
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,185.97,9.68,0.77,0.02,546,0.25
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,207.41,10.97,0.75,0.08,461,0.55
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,205.83,10.5,0.7,0.04,557,0.2
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,186.98,9.71,0.73,0.11,878,0.42
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,217.32,11.78,0.78,0.07,226,0.34
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,184.66,10.18,0.76,0.06,811,0.27
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,205.19,11.32,0.72,0.06,434,0.44
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,207.19,12.13,0.73,0.09,493,0.56
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,187.36,10.66,0.77,0.08,429,0.39
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,182.38,9.66,0.7,0.06,201,0.25
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,206.55,11.46,0.71,0.1,662,0.53
al_6061_primary,Aluminium 6061,Aluminium,primary,0.02,207.32,10.5,0.73,0.02,365,0.24
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,188.81,9.84,0.7,0.05,839,0.2
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,207.87,11.36,0.78,0.05,218,0.46
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,198.23,10.58,0.75,0.04,393,0.47
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,189.45,9.95,0.71,0.03,429,0.51
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,210.46,11.36,0.79,0.07,521,0.51
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,203.27,11.17,0.75,0.11,442,0.57
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,201.02,10.53,0.71,0.04,236,0.57
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,201.38,10.46,0.73,0.04,854,0.37
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,182.95,9.36,0.79,0.06,801,0.22
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,206.26,11.11,0.71,0.05,730,0.44
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,200.46,11.63,0.73,0.1,749,0.4
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,209.61,11.75,0.73,0.1,334,0.38
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,192.31,11.02,0.76,0.04,574,0.34
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,205.64,11.17,0.75,0.02,973,0.52
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,192.47,10.23,0.79,0.06,869,0.22
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,202.85,10.43,0.74,0.08,300,0.54
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,188.14,11.0,0.78,0.03,461,0.24
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,183.28,9.27,0.73,0.1,501,0.51
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,217.14,12.1,0.75,0.08,595,0.24
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,182.72,9.18,0.77,0.07,621,0.53
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,219.02,11.71,0.72,0.09,739,0.49
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,187.57,11.02,0.71,0.09,850,0.51
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,216.55,12.59,0.77,0.03,704,0.5
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,205.01,11.69,0.71,0.09,530,0.3
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,219.11,12.21,0.72,0.1,826,0.6
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,217.99,12.92,0.73,0.07,760,0.15
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,213.29,11.17,0.72,0.06,245,0.26
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,217.5,11.96,0.74,0.06,429,0.16
al_6061_primary,Aluminium 6061,Aluminium,primary,0.02,183.12,10.21,0.7,0.02,613,0.2
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,183.5,10.24,0.77,0.03,503,0.59
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,185.3,10.15,0.77,0.07,778,0.3
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,189.55,9.66,0.7,0.03,744,0.19
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,203.03,11.26,0.79,0.08,573,0.33
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,187.18,9.73,0.74,0.05,866,0.44
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,182.41,9.92,0.71,0.03,512,0.29
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,200.82,10.77,0.72,0.08,463,0.53
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,182.31,10.35,0.74,0.07,266,0.46
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,200.4,11.05,0.78,0.07,456,0.15
